id,timestamp,group_name,nutrient_id,rda,ul,active,user_id
600,2023-03-03 02:11:50,male 19-30,0,2700.0,,1,0
601,2023-03-03 02:11:50,male 19-30,1,130.0,,1,0
602,2023-03-03 02:11:50,male 19-30,2,38.0,,1,0
603,2023-03-03 02:11:50,male 19-30,3,56.0,,1,0
604,2023-03-03 02:11:50,male 19-30,4,,,1,0
605,2023-03-03 02:11:50,male 19-30,5,,,1,0
606,2023-03-03 02:11:50,male 19-30,6,,,1,0
607,2023-03-03 02:11:50,male 19-30,7,,,1,0
608,2023-03-03 02:11:50,male 19-30,8,,,1,0
609,2023-03-03 02:11:50,male 19-30,9,,,1,0
610,2023-03-03 02:11:50,male 19-30,10,0.375,,1,0
611,2023-03-03 02:11:50,male 19-30,11,0.0009,0.003,1,0
612,2023-03-03 02:11:50,male 19-30,12,0.0012,,1,0
613,2023-03-03 02:11:50,male 19-30,13,0.0013,,1,0
614,2023-03-03 02:11:50,male 19-30,14,0.016,0.035,1,0
615,2023-03-03 02:11:50,male 19-30,15,0.005,,1,0
616,2023-03-03 02:11:50,male 19-30,16,0.0013,0.1,1,0
617,2023-03-03 02:11:50,male 19-30,17,2.4e-06,,1,0
618,2023-03-03 02:11:50,male 19-30,18,0.09,2.0,1,0
619,2023-03-03 02:11:50,male 19-30,19,1.5e-05,0.0001,1,0
620,2023-03-03 02:11:50,male 19-30,20,0.015,1.0,1,0
621,2023-03-03 02:11:50,male 19-30,21,0.00012,,1,0
622,2023-03-03 02:11:50,male 19-30,22,0.55,3.5,1,0
623,2023-03-03 02:11:50,male 19-30,23,0.0004,0.001,1,0
624,2023-03-03 02:11:50,male 19-30,24,1.0,2.5,1,0
625,2023-03-03 02:11:50,male 19-30,25,2.3,3.6,1,0
626,2023-03-03 02:11:50,male 19-30,26,3.5e-05,,1,0
627,2023-03-03 02:11:50,male 19-30,27,0.0009,0.01,1,0
628,2023-03-03 02:11:50,male 19-30,28,0.004,0.01,1,0
629,2023-03-03 02:11:50,male 19-30,29,0.00015,0.0011,1,0
630,2023-03-03 02:11:50,male 19-30,30,0.008,0.045,1,0
631,2023-03-03 02:11:50,male 19-30,31,0.4,0.35,1,0
632,2023-03-03 02:11:50,male 19-30,32,0.0023,0.011,1,0
